"Intersection","Gene","Gene_Function"
"Wounded_4h vs Control_4h","pdam_00014319","ABCB4: Phosphatidylcholine translocator ABCB4 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00005899","UGT2B7: UDP-glucuronosyltransferase 2B7 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00002503","Histone H2A (Acropora formosa)"
"Wounded_4h vs Control_4h","pdam_00004955","FOXI1: Forkhead box protein I1 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00004981","FBL4: F-box/LRR-repeat protein 4 (Arabidopsis thaliana)"
"Wounded_4h vs Control_4h","pdam_00015392","abcB1: ABC transporter B family member 1 (Dictyostelium discoideum)"
"Wounded_4h vs Control_4h","pdam_00015396","RPS27A: Ubiquitin-40S ribosomal protein S27a (Gallus gallus)"
"Wounded_4h vs Control_4h","pdam_00021716","DPH7: Diphthine methyltransferase (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00002441","tf: Serotransferrin (Paralichthys olivaceus)"
"Wounded_4h vs Control_4h","pdam_00002413","Lyrm4: LYR motif-containing protein 4 (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00022757","unknown function"
"Wounded_4h vs Control_4h","pdam_00019696","v1g228490: NAD(P)H-hydrate epimerase (Nematostella vectensis)"
"Wounded_4h vs Control_4h","pdam_00001099","unknown function"
"Wounded_4h vs Control_4h","pdam_00010782","Rhamnose-binding lectin (Silurus asotus)"
"Wounded_4h vs Control_4h","pdam_00012400","PAP9: Probable inactive purple acid phosphatase 9 (Arabidopsis thaliana)"
"Wounded_4h vs Control_4h","pdam_00017000","ZP domain-containing protein (Acropora millepora)"
"Wounded_4h vs Control_4h","pdam_00007957","Rpl12: 60S ribosomal protein L12 (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00007934","NPR1: Atrial natriuretic peptide receptor 1 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00018595","FCER2: Low affinity immunoglobulin epsilon Fc receptor (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00001732","rpl31: 60S ribosomal protein L31 (Paralichthys olivaceus)"
"Wounded_4h vs Control_4h","pdam_00019317","unknown function"
"Wounded_4h vs Control_4h","pdam_00014761","unknown function"
"Wounded_4h vs Control_4h","pdam_00014764","PF11_0240: Dynein heavy chain-like protein PF11_0240 (Plasmodium falciparum (isolate 3D7))"
"Wounded_4h vs Control_4h","pdam_00004042","micu1: Calcium uptake protein 1%2C mitochondrial (Xenopus tropicalis)"
"Wounded_4h vs Control_4h","pdam_00017495","RABGGTA: Geranylgeranyl transferase type-2 subunit alpha (Sus scrofa)"
"Wounded_4h vs Control_4h","pdam_00024190","DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00003892","selenbp1: Selenium-binding protein 1 (Xenopus tropicalis)"
"Wounded_4h vs Control_4h","pdam_00003931","unknown function"
"Wounded_4h vs Control_4h","pdam_00003300","aldh1l1: Cytosolic 10-formyltetrahydrofolate dehydrogenase (Xenopus laevis)"
"Wounded_4h vs Control_4h","pdam_00006106","unknown function"
"Wounded_4h vs Control_4h","pdam_00020173","unknown function"
"Wounded_4h vs Control_4h","pdam_00002938","unknown function"
"Wounded_4h vs Control_4h","pdam_00023274","Nrg2: Pro-neuregulin-2%2C membrane-bound isoform (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00008674","unknown function"
"Wounded_4h vs Control_4h","pdam_00004204","cdc14ab: Dual specificity protein phosphatase CDC14AB (Danio rerio)"
"Wounded_1h vs Wounded_0h","pdam_00025762","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00015992","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00016097","MIIP: Migration and invasion-inhibitory protein (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00008334","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00013434","RSPH10B2: Radial spoke head 10 homolog B2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00013407","Cpsf2: Cleavage and polyadenylation specificity factor subunit 2 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00011620","yvdP: Uncharacterized FAD-linked oxidoreductase YvdP (Bacillus subtilis (strain 168))"
"Wounded_1h vs Wounded_0h","pdam_00008126","Kif12: Kinesin-like protein KIF12 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00011684","s1pr1: Sphingosine 1-phosphate receptor 1 (Danio rerio)"
"Wounded_1h vs Wounded_0h","pdam_00003701","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00003728","Tango2: Transport and Golgi organization 2 homolog (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00018795","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00015409","PLEKHG4: Puratrophin-1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00004610","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00008041","Rcan3: Calcipressin-3 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00012647","ZSWIM2: E3 ubiquitin-protein ligase ZSWIM2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00023857","ywrD: Putative gamma-glutamyltransferase YwrD (Bacillus subtilis (strain 168))"
"Wounded_1h vs Wounded_0h","pdam_00011391","Slc8a1: Sodium/calcium exchanger 1 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00011419","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00010773","Lca5: Lebercilin (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00016695","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00012073","SLC7A2: Cationic amino acid transporter 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00003343","Anp32b: Acidic leucine-rich nuclear phosphoprotein 32 family member B (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00003331","mthl1: Probable G-protein coupled receptor Mth-like 1 (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h","pdam_00014916","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00001512","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00001518","Gpn2: GPN-loop GTPase 2 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00001540","NUP43: Nucleoporin Nup43 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00011881","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00003506","Shaw: Potassium voltage-gated channel protein Shaw (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h","pdam_00007521","Efcab10: EF-hand calcium-binding domain-containing protein 10 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00007511","OPN4: Melanopsin (Phodopus sungorus)"
"Wounded_1h vs Wounded_0h","pdam_00017840","xkr8: XK-related protein 8 (Tetraodon nigroviridis)"
"Wounded_1h vs Wounded_0h","pdam_00017838","ANXA6: Annexin A6 (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00016267","DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)"
"Wounded_1h vs Wounded_0h","pdam_00000869","Pex11a: Peroxisomal membrane protein 11A (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00023036","Ppp4r4: Serine/threonine-protein phosphatase 4 regulatory subunit 4 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00014501","MAN2A2: Alpha-mannosidase 2x (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00021868","STARD9: StAR-related lipid transfer protein 9 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00003619","Tsnaxip1: Translin-associated factor X-interacting protein 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00025947","Mfsd6: Major facilitator superfamily domain-containing protein 6 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00002144","SOX14: Transcription factor SOX-14 (Macaca fascicularis)"
"Wounded_1h vs Wounded_0h","pdam_00014990","Lrrk1: Leucine-rich repeat serine/threonine-protein kinase 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00010140","Gart: Trifunctional purine biosynthetic protein adenosine-3 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00010173","foxo3: Forkhead box protein O3 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00000529","ttc34: Tetratricopeptide repeat protein 34 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00000653","HOP1: Hsp70-Hsp90 organizing protein 1 (Arabidopsis thaliana)"
"Wounded_1h vs Wounded_0h","pdam_00000675","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00019365","trim71: E3 ubiquitin-protein ligase TRIM71 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h","pdam_00017009","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00017029","CG4766: Protein mab-21-like (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h","pdam_00012925","zgc:110063: UPF0454 protein C12orf49 homolog (Danio rerio)"
"Wounded_1h vs Wounded_0h","pdam_00018527","BRD1: Bromodomain-containing protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00005487","PGM2: Phosphoglucomutase-2 (Pongo abelii)"
"Wounded_1h vs Wounded_0h","pdam_00005513","Ccni: Cyclin-I (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00000150","Matn4: Matrilin-4 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00005439","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00004733","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00010257","ACOT13: Acyl-coenzyme A thioesterase 13 (Pongo abelii)"
"Wounded_1h vs Wounded_0h","pdam_00019665","ccdc176: Basal body-orientation factor 1 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00011834","C7orf62: Uncharacterized protein C7orf62 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00013982","DDX55: ATP-dependent RNA helicase DDX55 (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00014637","TRIM71: E3 ubiquitin-protein ligase TRIM71 (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00022019","tth-1: Thymosin beta (Caenorhabditis elegans)"
"Wounded_1h vs Wounded_0h","pdam_00014726","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00006795","Akap14: A-kinase anchor protein 14 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00017397","NMT1: Phosphoethanolamine N-methyltransferase 1 (Arabidopsis thaliana)"
"Wounded_1h vs Wounded_0h","pdam_00017398","metB: Cystathionine gamma-synthase (Helicobacter pylori)"
"Wounded_1h vs Wounded_0h","pdam_00019714","MC1R: Melanocyte-stimulating hormone receptor (Saimiri oerstedii)"
"Wounded_1h vs Wounded_0h","pdam_00010198","SMIM15: Small integral membrane protein 15 (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00024751","PKD1L2: Polycystic kidney disease protein 1-like 2 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00004029","Gabbr1: Gamma-aminobutyric acid type B receptor subunit 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00003996","GPR83: Probable G-protein coupled receptor 83 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00011870","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00007552","COPE: Coatomer subunit epsilon (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00019602","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00007197","Gsg2: Serine/threonine-protein kinase haspin (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00011169","Pacrg: Parkin coregulated gene protein homolog (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00002320","tctex1d1-b: Tctex1 domain-containing protein 1-B (Fragment) (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00006214","morn5: MORN repeat-containing protein 5 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h","pdam_00006154","Celsr3: Cadherin EGF LAG seven-pass G-type receptor 3 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00012526","KCNC1: Potassium voltage-gated channel subfamily C member 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00010525","LSM7: U6 snRNA-associated Sm-like protein LSm7 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00017422","TSHR: Thyrotropin receptor (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00009518","bap1: Ubiquitin carboxyl-terminal hydrolase BAP1 (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00022061","HNRNPUL1: Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00001457","Med20: Mediator of RNA polymerase II transcription subunit 20 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00016495","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00009328","Dhx40: Probable ATP-dependent RNA helicase DHX40 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00009337","Ccdc96: Coiled-coil domain-containing protein 96 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00009314","Adora1: Adenosine receptor A1 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00006420","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00002642","PARP14: Poly [ADP-ribose] polymerase 14 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00018573","Srsf3: Serine/arginine-rich splicing factor 3 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00003096","Lrrc34: Leucine-rich repeat-containing protein 34 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00016472","CCDC173: Coiled-coil domain-containing protein 173 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00006251","SCPEP1: Retinoid-inducible serine carboxypeptidase (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00011018","otud5a: OTU domain-containing protein 5-A (Danio rerio)"
"Wounded_1h vs Wounded_0h","pdam_00011051","F5: Coagulation factor V (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00020164","HINFP: Histone H4 transcription factor (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00000913","Hcrtr1: Orexin receptor type 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00005126","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00020614","LACTBL1: Putative beta-lactamase-like 1 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00012822","v1g243165: UPF0518 protein v1g243165 (Nematostella vectensis)"
"Wounded_1h vs Wounded_0h","pdam_00005235","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00002495","usp10: Ubiquitin carboxyl-terminal hydrolase 10 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h","pdam_00002532","MED10: Mediator of RNA polymerase II transcription subunit 10 (Pongo abelii)"
"Wounded_1h vs Wounded_0h","pdam_00015394","FBXW7: F-box/WD repeat-containing protein 7 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00019576","IGFALS: Insulin-like growth factor-binding protein complex acid labile subunit (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00023092","GEMIN6: Gem-associated protein 6 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00006961","Fmo5: Dimethylaniline monooxygenase [N-oxide-forming] 5 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00007008","Zmat2: Zinc finger matrin-type protein 2 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00009473","RYa-R: RYamide receptor (Drosophila melanogaster)"
"Wounded_1h vs Wounded_0h","pdam_00009202","poxA: Peroxinectin A (Dictyostelium discoideum)"
"Wounded_1h vs Wounded_0h","pdam_00017449","G-protein coupled receptor GRL101 (Lymnaea stagnalis)"
"Wounded_1h vs Wounded_0h","pdam_00022134","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00001089","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00001101","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00001087","Tdrkh: Tudor and KH domain-containing protein (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00013825","TMEM26: Transmembrane protein 26 (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00017871","SIRT5: NAD-dependent protein deacylase sirtuin-5%2C mitochondrial (Canis lupus familiaris)"
"Wounded_1h vs Wounded_0h","pdam_00011333","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00011337","POLH: DNA polymerase eta (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00002751","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00024072","GLG1: Golgi apparatus protein 1 (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00010510","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00013683","Melatonin receptor type 1C (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00007932","MFAP1: Microfibrillar-associated protein 1 (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00012140","Npffr2: Neuropeptide FF receptor 2 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00001649","Ano7: Anoctamin-7 (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00020577","Hmcn1: Hemicentin-1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00004684","CTDP1: RNA polymerase II subunit A C-terminal domain phosphatase (Homo sapiens)"
"Wounded_1h vs Wounded_0h","pdam_00011571","Cd63: CD63 antigen (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00011921","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00011918","Hcfc1: Host cell factor 1 (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00011949","SPATA4: Spermatogenesis-associated protein 4 (Pan troglodytes)"
"Wounded_1h vs Wounded_0h","pdam_00014195","mif-2: MIF-like protein mif-2 (Caenorhabditis elegans)"
"Wounded_1h vs Wounded_0h","pdam_00020065","rad54l2: Helicase ARIP4 (Xenopus tropicalis)"
"Wounded_1h vs Wounded_0h","pdam_00020418","LRP8: Low-density lipoprotein receptor-related protein 8 (Gallus gallus)"
"Wounded_1h vs Wounded_0h","pdam_00016165","Baz1a: Bromodomain adjacent to zinc finger domain protein 1A (Mus musculus)"
"Wounded_1h vs Wounded_0h","pdam_00025814","TTC4: Tetratricopeptide repeat protein 4 (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00015759","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00009608","SHL2: Probable RNA-dependent RNA polymerase SHL2 (Oryza sativa subsp. japonica)"
"Wounded_1h vs Wounded_0h","pdam_00009617","PARPBP: PCNA-interacting partner (Bos taurus)"
"Wounded_1h vs Wounded_0h","pdam_00018243","fkbp1a: Peptidyl-prolyl cis-trans isomerase FKBP1A (Xenopus laevis)"
"Wounded_1h vs Wounded_0h","pdam_00018228","trim71: E3 ubiquitin-protein ligase TRIM71 (Danio rerio)"
"Wounded_1h vs Wounded_0h","pdam_00013755","Acsm3: Acyl-coenzyme A synthetase ACSM3%2C mitochondrial (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00006024","Sh2d4a: SH2 domain-containing protein 4A (Rattus norvegicus)"
"Wounded_1h vs Wounded_0h","pdam_00016714","BRAFLDRAFT_58504: Anamorsin homolog (Branchiostoma floridae)"
"Wounded_1h vs Wounded_0h","pdam_00009952","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00018845","unknown function"
"Wounded_1h vs Wounded_0h","pdam_00007159","Chrac1: Chromatin accessibility complex protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012255","Oma1: Metalloendopeptidase OMA1%2C mitochondrial (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00009291","IPO13: Importin-13 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00008160","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008152","Crhr1: Corticotropin-releasing factor receptor 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00017137","EGF1: Fibropellin-1 (Strongylocentrotus purpuratus)"
"Wounded_2h vs Wounded_0h","pdam_00014849","DSCR3: Down syndrome critical region protein 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020872","polg2: DNA polymerase subunit gamma-2%2C mitochondrial (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00020880","TRPC5: Short transient receptor potential channel 5 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00018214","uba2: SUMO-activating enzyme subunit 2 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00007425","HSPA12A: Heat shock 70 kDa protein 12A (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00007461","RPL44: 60S ribosomal protein L44 (Gossypium hirsutum)"
"Wounded_2h vs Wounded_0h","pdam_00016001","NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00015192","BPNT1: 3'(2')%2C5'-bisphosphate nucleotidase 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00019849","LTA4H: Leukotriene A-4 hydrolase (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00021257","APIP: Methylthioribulose-1-phosphate dehydratase (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00020375","wdr1-b: WD repeat-containing protein 1-B (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00013203","slr1101: Universal stress protein Slr1101 (Synechocystis sp. (strain PCC 6803 / Kazusa))"
"Wounded_2h vs Wounded_0h","pdam_00013208","efr3b: Protein EFR3 homolog B (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00013566","wdr70: WD repeat-containing protein 70 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00013558","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013583","PR2: Tyrosine-protein kinase PR2 (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00013576","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00022671","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00019235","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00025999","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006642","Gmcl1: Germ cell-less protein-like 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00006682","PWP1: Periodic tryptophan protein 1 homolog (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00006654","Taldo: Probable transaldolase (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00025760","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013177","AP1M1: AP-1 complex subunit mu-1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013172","FRZB: Secreted frizzled-related protein 3 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00008090","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00022518","unknown function"
